barcode,chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr12,chr13,chr14,chr15,chr16,chr17,chr18,chr19,chr20,chr21,chr22
cell_0000,0.9668596,1.0172477,0.9676041,1.1342396,1.059845,1.0248711,0.9522803,1.0769393,1.0414118,0.95549554,0.9236688,0.9959031,0.9824649,1.0454175,0.98350626,1.0326059,1.0339125,0.9858434,1.0128163,1.0268542,0.90756345,1.0252465
cell_0001,1.0058832,1.0041218,0.9534886,0.9398077,0.9990012,0.99292856,0.98677254,1.0987074,0.87330705,1.0693166,1.0858737,1.0465442,0.8795088,1.0750848,0.94043034,0.95891213,0.92874724,0.8827031,0.92855483,1.0941862,0.91256046,0.99909925
cell_0002,1.1289219,1.0193093,0.9132705,1.0247169,0.9087089,1.0173479,0.98734826,0.9811707,1.0633531,0.92439324,1.0903093,0.89378935,0.9739081,1.1255108,0.8488856,0.8109137,1.0849775,1.054164,1.0265139,1.0320659,1.0328976,0.9808617
cell_0003,0.99876446,1.1753395,0.9240605,0.9640098,0.96408254,0.96310925,0.8614286,0.990335,0.9484275,1.02947,1.0088571,0.95520383,1.0446944,1.0138448,1.022697,1.0965081,1.1139438,0.98694897,0.91903126,1.0542207,1.13485,0.965509
cell_0004,1.0070833,0.97218287,1.038666,1.0839041,0.9701027,1.0210806,0.91844374,1.0696791,0.9891632,0.96101964,1.068543,0.89268714,1.0392898,1.0961102,1.0711755,0.94554454,1.0626802,0.81310683,0.9146081,0.9111913,0.9727424,1.0600213
cell_0005,0.97449684,0.99966484,1.0950347,1.0178962,1.2312236,0.894568,1.0250435,1.0333165,0.86383265,0.99002427,0.96367526,0.9872302,0.9433603,0.9970377,0.958708,0.96245885,0.9180896,1.0606507,0.98422295,1.1925409,0.9280771,1.0503547
cell_0006,1.0233706,1.0625038,1.025586,1.0451226,1.0051683,0.8948574,0.9141435,1.0284677,1.1125937,1.0129288,1.05135,0.93323296,0.85166043,1.0689636,0.92586905,1.0494119,1.0654558,1.0442733,0.9294962,1.1379156,0.7990829,1.1392406
cell_0007,1.0570048,1.0275221,0.9022571,1.0839956,0.93000966,0.9797193,1.0318437,0.93872064,0.92045516,1.0517429,0.9230586,1.0618942,1.0203727,0.9835038,1.0302337,0.9845627,1.0221778,0.95160073,0.9722007,1.108895,1.1552482,0.9475599
cell_0008,0.94535613,1.1005397,1.0997523,0.8027126,1.0161222,1.1023108,0.995369,1.0004196,0.9672371,1.0170045,0.9540297,1.0516232,0.9705438,0.8794868,0.8991936,1.0666562,0.986595,1.1252315,1.0100402,0.93244994,0.8498424,0.85787857
cell_0009,1.0203491,1.0168811,1.059875,0.97345096,0.9287363,0.9381006,1.0346285,1.0630218,1.0188572,1.0139612,1.0382767,1.0230836,0.9301364,1.009884,0.9283827,0.998253,0.9322711,0.89521235,0.943829,0.96863234,1.0976596,0.9741626
cell_0010,1.0407017,0.9361022,0.9000001,1.1054837,1.0454086,0.9181319,1.0011462,0.9359506,0.9581057,1.0255996,0.9976016,0.9029269,0.99865896,1.0587051,0.9347343,0.9797248,1.0054796,0.92925835,1.0408669,1.0226867,0.883089,1.0305084
cell_0011,1.020014,1.0089222,1.0309497,0.9998099,0.94464916,0.8985148,1.0020609,0.83982044,1.066343,0.9017207,0.9054148,0.97241455,1.0639153,1.0121337,1.0246159,1.0563743,0.9052885,0.92157435,1.0231897,1.007238,1.0145,0.94950753
cell_0012,1.0735205,0.9094044,1.0425612,0.9402765,1.1044192,0.9392374,0.91723645,0.94419724,1.1157283,0.9596809,0.9859791,1.0858217,1.0132421,1.0358529,1.0552008,0.9836618,0.8916322,1.0449736,1.0319848,1.1442702,0.800809,0.91105187
